163.40	690.56	0.042864	0.40580	0.46624	2.8581	2.9530	0.33864	-0.077895	-0.073802	-0.44688	21.924	44.497	647.77	-8.4106e-05	502.32	0.071358	0.0091671	109.09	11.206	12.525	76.658	13.385	22.856	128.94	0.0083816	13.530	0.0031590
163.50	694.62	0.043095	0.41269	0.47349	2.9003	2.9523	0.33872	-0.073455	-0.069336	-0.41971	21.917	44.500	647.49	-8.4064e-05	501.61	0.071321	0.0092164	108.50	11.207	12.527	76.620	13.388	22.864	128.97	0.0083690	13.537	0.0031611
163.60	698.70	0.043327	0.41959	0.48075	2.9425	2.9517	0.33879	-0.069015	-0.064871	-0.39256	21.910	44.503	647.20	-8.4021e-05	500.90	0.071285	0.0092660	107.92	11.208	12.528	76.582	13.392	22.873	129.00	0.0083565	13.544	0.0031633
163.70	702.80	0.043560	0.42651	0.48802	2.9847	2.9510	0.33887	-0.064574	-0.060405	-0.36542	21.903	44.506	646.92	-8.3978e-05	500.19	0.071248	0.0093158	107.34	11.209	12.530	76.544	13.395	22.881	129.03	0.0083440	13.552	0.0031654
163.80	706.91	0.043794	0.43343	0.49530	3.0270	2.9503	0.33895	-0.060133	-0.055939	-0.33829	21.896	44.509	646.64	-8.3935e-05	499.48	0.071212	0.0093658	106.77	11.210	12.531	76.506	13.398	22.889	129.06	0.0083315	13.559	0.0031676
163.90	711.04	0.044029	0.44036	0.50259	3.0693	2.9497	0.33902	-0.055692	-0.051473	-0.31118	21.889	44.512	646.36	-8.3892e-05	498.77	0.071175	0.0094161	106.20	11.211	12.533	76.468	13.401	22.897	129.09	0.0083191	13.566	0.0031698
164.00	715.20	0.044264	0.44729	0.50989	3.1116	2.9490	0.33910	-0.051251	-0.047006	-0.28409	21.882	44.515	646.08	-8.3849e-05	498.06	0.071139	0.0094665	105.64	11.212	12.534	76.430	13.405	22.906	129.12	0.0083067	13.573	0.0031719
164.10	719.37	0.044501	0.45424	0.51720	3.1540	2.9483	0.33917	-0.046810	-0.042539	-0.25701	21.875	44.517	645.80	-8.3805e-05	497.36	0.071102	0.0095171	105.07	11.213	12.536	76.392	13.408	22.914	129.15	0.0082943	13.580	0.0031741
164.20	723.56	0.044739	0.46120	0.52453	3.1964	2.9477	0.33925	-0.042368	-0.038071	-0.22994	21.869	44.520	645.52	-8.3762e-05	496.65	0.071066	0.0095679	104.52	11.213	12.537	76.355	13.411	22.922	129.18	0.0082820	13.588	0.0031763
164.30	727.77	0.044977	0.46817	0.53186	3.2388	2.9470	0.33933	-0.037926	-0.033603	-0.20289	21.862	44.523	645.24	-8.3718e-05	495.95	0.071029	0.0096189	103.96	11.214	12.539	76.317	13.415	22.930	129.21	0.0082697	13.595	0.0031784
164.40	732.00	0.045217	0.47514	0.53921	3.2812	2.9463	0.33940	-0.033484	-0.029135	-0.17586	21.855	44.526	644.95	-8.3674e-05	495.25	0.070993	0.0096701	103.41	11.215	12.540	76.279	13.418	22.939	129.24	0.0082574	13.602	0.0031806
164.50	736.24	0.045458	0.48213	0.54657	3.3237	2.9457	0.33948	-0.029042	-0.024667	-0.14884	21.848	44.529	644.67	-8.3631e-05	494.55	0.070956	0.0097216	102.86	11.216	12.542	76.242	13.421	22.947	129.27	0.0082451	13.610	0.0031828
164.60	740.51	0.045699	0.48912	0.55393	3.3662	2.9450	0.33956	-0.024599	-0.020198	-0.12184	21.841	44.532	644.39	-8.3586e-05	493.85	0.070920	0.0097732	102.32	11.217	12.543	76.204	13.425	22.955	129.30	0.0082329	13.617	0.0031849
164.70	744.80	0.045942	0.49613	0.56131	3.4087	2.9443	0.33963	-0.020156	-0.015728	-0.094846	21.835	44.536	644.11	-8.3542e-05	493.15	0.070883	0.0098251	101.78	11.218	12.545	76.167	13.428	22.964	129.33	0.0082207	13.624	0.0031871
164.80	749.10	0.046185	0.50314	0.56870	3.4513	2.9437	0.33971	-0.015713	-0.011258	-0.067871	21.828	44.539	643.83	-8.3498e-05	492.46	0.070846	0.0098771	101.24	11.219	12.546	76.129	13.431	22.972	129.35	0.0082085	13.631	0.0031893
